"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"LOC105376199","9",105376199,"uncharacterized LOC105376199",""
"LOC105376200","9",105376200,"uncharacterized LOC105376200",""
"LOC105376201","9",105376201,"uncharacterized LOC105376201",""
"LOC105376202","9",105376202,"uncharacterized LOC105376202",""
"LOC105376203","9",105376203,"uncharacterized LOC105376203",""
"LOC105376204","9",105376204,"uncharacterized LOC105376204",""
"LOC105376205","9",105376205,"uncharacterized LOC105376205",""
"LOC105376206","9",105376206,"uncharacterized LOC105376206",""
"LOC105376207","9",105376207,"uncharacterized LOC105376207",""
"LOC105376208","9",105376208,"uncharacterized LOC105376208",""
"LOC105376209","9",105376209,"uncharacterized LOC105376209",""
"LOC105376210","9",105376210,"uncharacterized LOC105376210",""
"LOC105376211","9",105376211,"uncharacterized LOC105376211",""
"LOC105376212","9",105376212,"uncharacterized LOC105376212",""
"LOC105376213","9",105376213,"uncharacterized LOC105376213",""
"LOC105376214","9",105376214,"uncharacterized LOC105376214",""
"LOC105376215","9",105376215,"uncharacterized LOC105376215",""
"LOC105376216","9",105376216,"uncharacterized LOC105376216",""
"LOC105376217","9",105376217,"uncharacterized LOC105376217",""
"LOC105376218","9",105376218,"uncharacterized LOC105376218",""
"LOC105376219","9",105376219,"uncharacterized LOC105376219",""
"LOC105376220","9",105376220,"uncharacterized LOC105376220",""
"LOC105376221","9",105376221,"uncharacterized LOC105376221",""
"LOC105376222","9",105376222,"uncharacterized LOC105376222",""
"LOC105376223","9",105376223,"uncharacterized LOC105376223",""
"LOC105376224","9",105376224,"uncharacterized LOC105376224",""
"LOC105376225","9",105376225,"uncharacterized LOC105376225",""
"LOC105376226","9",105376226,"uncharacterized LOC105376226",""
"LOC105376227","9",105376227,"uncharacterized LOC105376227",""
"LOC105376228","9",105376228,"uncharacterized LOC105376228",""
"LOC105376229","9",105376229,"uncharacterized LOC105376229",""
"LOC105376230","9",105376230,"uncharacterized LOC105376230",""
"LOC105376231","9",105376231,"uncharacterized LOC105376231",""
"LOC105376232","9",105376232,"uncharacterized LOC105376232",""
"LOC105376233","9",105376233,"uncharacterized LOC105376233",""
"LOC105376234","9",105376234,"uncharacterized LOC105376234",""
"LOC105376235","9",105376235,"uncharacterized LOC105376235",""
"LOC105376236","9",105376236,"uncharacterized LOC105376236",""
"LOC105376237","9",105376237,"uncharacterized LOC105376237",""
"LOC105376238","9",105376238,"uncharacterized LOC105376238",""
"LOC105376239","9",105376239,"uncharacterized LOC105376239",""
"LOC105376240","9",105376240,"uncharacterized LOC105376240",""
"LOC105376241","9",105376241,"uncharacterized LOC105376241",""
"LOC105376242","9",105376242,"uncharacterized LOC105376242",""
"LOC105376243","9",105376243,"uncharacterized LOC105376243",""
"LOC105376244","9",105376244,"uncharacterized LOC105376244",""
"LOC105376245","9",105376245,"uncharacterized LOC105376245",""
"LOC105376246","9",105376246,"uncharacterized LOC105376246",""
"LOC105376247","9",105376247,"uncharacterized LOC105376247",""
"LOC105376248","9",105376248,"uncharacterized LOC105376248",""
"LOC105376249","9",105376249,"uncharacterized LOC105376249",""
"LOC105376250","9",105376250,"uncharacterized LOC105376250",""
"LOC105376251","9",105376251,"uncharacterized LOC105376251",""
"LOC105376252","9",105376252,"uncharacterized LOC105376252",""
"LOC105376253","9",105376253,"uncharacterized LOC105376253",""
"LOC105376254","9",105376254,"uncharacterized LOC105376254",""
"LOC105376255","9",105376255,"uncharacterized LOC105376255",""
"LOC105376256","9",105376256,"uncharacterized LOC105376256",""
"LOC105376257","9",105376257,"uncharacterized LOC105376257",""
"LOC105376258","9",105376258,"uncharacterized LOC105376258",""
"LOC105376259","9",105376259,"uncharacterized LOC105376259",""
"LOC105376260","9",105376260,"uncharacterized LOC105376260",""
"LOC105376261","9",105376261,"uncharacterized LOC105376261",""
"LOC105376262","9",105376262,"uncharacterized LOC105376262",""
"LOC105376263","9",105376263,"uncharacterized LOC105376263",""
"LOC105376264","9",105376264,"uncharacterized LOC105376264",""
"LOC105376265","9",105376265,"uncharacterized LOC105376265",""
"LOC105376266","9",105376266,"uncharacterized LOC105376266",""
"LOC105376267","9",105376267,"uncharacterized LOC105376267",""
"LOC105376268","9",105376268,"uncharacterized LOC105376268",""
"LOC105376269","9",105376269,"uncharacterized LOC105376269",""
"LOC105376270","9",105376270,"uncharacterized LOC105376270",""
"LOC105376271","9",105376271,"uncharacterized LOC105376271",""
"LOC105376272","9",105376272,"uncharacterized LOC105376272",""
"LOC105376273","9",105376273,"uncharacterized LOC105376273",""
"LOC105376274","9",105376274,"uncharacterized LOC105376274",""
"LOC105376275","9",105376275,"uncharacterized LOC105376275",""
"LOC105376276","9",105376276,"uncharacterized LOC105376276",""
"LOC105376277","9",105376277,"uncharacterized LOC105376277",""
"LOC105376278","9",105376278,"uncharacterized LOC105376278",""
"LOC105376279","9",105376279,"uncharacterized LOC105376279",""
"LOC105376280","9",105376280,"uncharacterized LOC105376280",""
"LOC105376281","9",105376281,"uncharacterized LOC105376281",""
"LOC105376282","9",105376282,"uncharacterized LOC105376282",""
"LOC105376283","9",105376283,"uncharacterized LOC105376283",""
"LOC105376284","9",105376284,"uncharacterized LOC105376284",""
"LOC105376285","9",105376285,"uncharacterized LOC105376285",""
"LOC105376286","9",105376286,"uncharacterized LOC105376286",""
"LOC105376287","9",105376287,"uncharacterized LOC105376287",""
"LOC105376288","9",105376288,"uncharacterized LOC105376288",""
"LOC105376289","9",105376289,"uncharacterized LOC105376289",""
"LOC105376290","9",105376290,"uncharacterized LOC105376290",""
"LOC105376291","9",105376291,"uncharacterized LOC105376291",""
"LOC105376292","9",105376292,"uncharacterized LOC105376292",""
"LOC105376293","9",105376293,"uncharacterized LOC105376293",""
"LOC105376294","9",105376294,"uncharacterized LOC105376294",""
"LOC105376295","9",105376295,"uncharacterized LOC105376295",""
"LOC105376296","9",105376296,"uncharacterized LOC105376296",""
"LOC105376297","9",105376297,"uncharacterized LOC105376297",""
"LOC105376298","9",105376298,"uncharacterized LOC105376298",""
"LOC105376299","9",105376299,"uncharacterized LOC105376299",""
"LOC105376300","9",105376300,"uncharacterized LOC105376300",""
"LOC105376301","9",105376301,"uncharacterized LOC105376301",""
"LOC105376302","9",105376302,"uncharacterized LOC105376302",""
"LOC105376303","9",105376303,"uncharacterized LOC105376303",""
"LOC105376304","9",105376304,"uncharacterized LOC105376304",""
"LOC105376305","9",105376305,"uncharacterized LOC105376305",""
"LOC105376306","9",105376306,"uncharacterized LOC105376306",""
"LOC105376307","9",105376307,"uncharacterized LOC105376307",""
"LOC105376308","9",105376308,"uncharacterized LOC105376308",""
"LOC105376309","9",105376309,"uncharacterized LOC105376309",""
"LOC105376310","9",105376310,"uncharacterized LOC105376310",""
"LOC105376311","9",105376311,"uncharacterized LOC105376311",""
"LOC105376312","9",105376312,"uncharacterized LOC105376312",""
"LOC105376313","9",105376313,"uncharacterized LOC105376313",""
"LOC105376314","9",105376314,"uncharacterized LOC105376314",""
"LOC105376315","9",105376315,"uncharacterized LOC105376315",""
"LOC105376316","9",105376316,"uncharacterized LOC105376316",""
"LOC105376317","9",105376317,"uncharacterized LOC105376317",""
"LOC105376318","9",105376318,"uncharacterized LOC105376318",""
"LOC105376319","9",105376319,"uncharacterized LOC105376319",""
"LOC105376320","9",105376320,"uncharacterized LOC105376320",""
"LOC105376321","9",105376321,"uncharacterized LOC105376321",""
"LOC105376322","9",105376322,"uncharacterized LOC105376322",""
"LOC105376323","9",105376323,"uncharacterized LOC105376323",""
"LOC105376324","9",105376324,"uncharacterized LOC105376324",""
"LOC105376325","9",105376325,"uncharacterized LOC105376325",""
"LOC105376326","9",105376326,"uncharacterized LOC105376326",""
"LOC105376327","9",105376327,"uncharacterized LOC105376327",""
"LOC105376328","9",105376328,"uncharacterized LOC105376328",""
"LOC105376329","9",105376329,"uncharacterized LOC105376329",""
"LOC105376330","9",105376330,"uncharacterized LOC105376330",""
"LOC105376331","9",105376331,"uncharacterized LOC105376331",""
"LOC105376332","9",105376332,"uncharacterized LOC105376332",""
"LOC105376333","9",105376333,"formin-like protein 6",""
"LOC105376334","9",105376334,"105376334",""
"LOC105376335","9",105376335,"basic proline-rich protein-like",""
"LOC105376336","9",105376336,"glutamate receptor ionotropic, NMDA 2D-like",""
"LOC105376337","9",105376337,"uncharacterized LOC105376337",""
"LOC105376338","10",105376338,"uncharacterized LOC105376338",""
"LOC105376339","10",105376339,"uncharacterized LOC105376339",""
"LOC105376340","10",105376340,"uncharacterized LOC105376340",""
"LOC105376341","10",105376341,"uncharacterized LOC105376341",""
"LOC105376342","10",105376342,"uncharacterized LOC105376342",""
"LOC105376343","10",105376343,"uncharacterized LOC105376343",""
"LOC105376344","10",105376344,"uncharacterized LOC105376344",""
"LOC105376345","10",105376345,"uncharacterized LOC105376345",""
"LOC105376346","10",105376346,"uncharacterized LOC105376346",""
"LOC105376347","10",105376347,"uncharacterized LOC105376347",""
"LOC105376348","10",105376348,"uncharacterized LOC105376348",""
"LOC105376349","10",105376349,"uncharacterized LOC105376349",""
"LOC105376350","10",105376350,"uncharacterized LOC105376350",""
"LOC105376351","10",105376351,"uncharacterized LOC105376351",""
"LOC105376352","10",105376352,"uncharacterized LOC105376352",""
"LOC105376353","10",105376353,"mucin-17-like",""
"LOC105376354","10",105376354,"uncharacterized LOC105376354",""
"LOC105376355","10",105376355,"uncharacterized LOC105376355",""
"LOC105376356","10",105376356,"uncharacterized LOC105376356",""
"LOC105376357","10",105376357,"uncharacterized LOC105376357",""
"LOC105376358","10",105376358,"uncharacterized LOC105376358",""
"LOC105376359","10",105376359,"uncharacterized LOC105376359",""
"LOC105376360","10",105376360,"uncharacterized LOC105376360",""
"LOC105376361","10",105376361,"uncharacterized LOC105376361",""
"LOC105376362","10",105376362,"uncharacterized LOC105376362",""
"LOC105376363","10",105376363,"uncharacterized LOC105376363",""
"LOC105376364","10",105376364,"uncharacterized LOC105376364",""
"LOC105376365","10",105376365,"uncharacterized LOC105376365",""
"LOC105376366","10",105376366,"uncharacterized LOC105376366",""
"LOC105376367","10",105376367,"uncharacterized LOC105376367",""
"LOC105376368","10",105376368,"uncharacterized LOC105376368",""
"LOC105376369","10",105376369,"uncharacterized LOC105376369",""
"LOC105376370","10",105376370,"uncharacterized LOC105376370",""
"LOC105376371","10",105376371,"uncharacterized LOC105376371",""
"LOC105376372","10",105376372,"uncharacterized LOC105376372",""
"LOC105376373","10",105376373,"uncharacterized LOC105376373",""
"LOC105376374","10",105376374,"uncharacterized LOC105376374",""
"LOC105376375","10",105376375,"uncharacterized LOC105376375",""
"LOC105376376","10",105376376,"uncharacterized LOC105376376",""
"LOC105376377","10",105376377,"uncharacterized LOC105376377",""
"LOC105376378","10",105376378,"uncharacterized LOC105376378",""
"LOC105376379","10",105376379,"uncharacterized LOC105376379",""
"LOC105376380","10",105376380,"uncharacterized LOC105376380",""
"LOC105376381","10",105376381,"uncharacterized LOC105376381",""
"LOC105376382","10",105376382,"uncharacterized LOC105376382",""
"LOC105376383","10",105376383,"uncharacterized LOC105376383",""
"LOC105376384","10",105376384,"uncharacterized LOC105376384",""
"LOC105376385","10",105376385,"uncharacterized LOC105376385",""
"LOC105376386","10",105376386,"uncharacterized LOC105376386",""
"LOC105376387","10",105376387,"endogenous retrovirus group K member 7 Env polyprotein-like",""
"LOC105376388","10",105376388,"uncharacterized LOC105376388",""
"LOC105376389","10",105376389,"uncharacterized LOC105376389",""
"LOC105376390","10",105376390,"uncharacterized LOC105376390",""
"LOC105376391","10",105376391,"uncharacterized LOC105376391",""
"LOC105376392","10",105376392,"uncharacterized LOC105376392",""
"LOC105376393","10",105376393,"uncharacterized LOC105376393",""
"LOC105376394","10",105376394,"uncharacterized LOC105376394",""
"LOC105376395","10",105376395,"uncharacterized LOC105376395",""
"LOC105376396","10",105376396,"uncharacterized LOC105376396",""
"LOC105376397","10",105376397,"uncharacterized LOC105376397",""
"LOC105376398","10",105376398,"uncharacterized LOC105376398",""
"LOC105376399","10",105376399,"uncharacterized LOC105376399",""
"LOC105376400","10",105376400,"uncharacterized LOC105376400",""
"LOC105376401","10",105376401,"uncharacterized LOC105376401",""
"LOC105376402","10",105376402,"uncharacterized LOC105376402",""
"LOC105376403","10",105376403,"uncharacterized LOC105376403",""
"LOC105376404","10",105376404,"uncharacterized LOC105376404",""
"LOC105376405","10",105376405,"uncharacterized LOC105376405",""
"LOC105376406","10",105376406,"uncharacterized LOC105376406",""
"LOC105376407","10",105376407,"uncharacterized LOC105376407",""
"LOC105376408","10",105376408,"uncharacterized LOC105376408",""
"LOC105376409","10",105376409,"uncharacterized LOC105376409",""
"LOC105376410","10",105376410,"uncharacterized LOC105376410",""
"LOC105376411","10",105376411,"uncharacterized LOC105376411",""
"LOC105376412","10",105376412,"uncharacterized LOC105376412",""
"LOC105376413","10",105376413,"uncharacterized LOC105376413",""
"LOC105376414","10",105376414,"uncharacterized LOC105376414",""
"LOC105376415","10",105376415,"uncharacterized LOC105376415",""
"LOC105376416","10",105376416,"uncharacterized LOC105376416",""
"LOC105376417","10",105376417,"uncharacterized LOC105376417",""
"LOC105376418","10",105376418,"uncharacterized LOC105376418",""
"LOC105376419","10",105376419,"uncharacterized LOC105376419",""
"LOC105376420","10",105376420,"uncharacterized LOC105376420",""
"LOC105376421","10",105376421,"uncharacterized LOC105376421",""
"LOC105376422","10",105376422,"uncharacterized LOC105376422",""
"LOC105376423","10",105376423,"uncharacterized LOC105376423",""
"LOC105376424","10",105376424,"uncharacterized LOC105376424",""
"LOC105376425","10",105376425,"uncharacterized LOC105376425",""
"LOC105376426","10",105376426,"uncharacterized LOC105376426",""
"LOC105376427","10",105376427,"uncharacterized LOC105376427",""
"LOC105376428","10",105376428,"uncharacterized LOC105376428",""
"LOC105376429","10",105376429,"uncharacterized LOC105376429",""
"LOC105376430","10",105376430,"uncharacterized LOC105376430",""
"LOC105376431","10",105376431,"uncharacterized LOC105376431",""
"LOC105376432","10",105376432,"protein artemis-like",""
"LOC105376433","10",105376433,"uncharacterized LOC105376433",""
"LOC105376434","10",105376434,"uncharacterized LOC105376434",""
"LOC105376435","10",105376435,"uncharacterized LOC105376435",""
"LOC105376436","10",105376436,"uncharacterized LOC105376436",""
"LOC105376437","10",105376437,"uncharacterized LOC105376437",""
"LOC105376438","10",105376438,"uncharacterized LOC105376438",""
"LOC105376439","10",105376439,"uncharacterized LOC105376439",""
"LOC105376440","10",105376440,"uncharacterized LOC105376440",""
"LOC105376441","10",105376441,"uncharacterized LOC105376441",""
"LOC105376442","10",105376442,"uncharacterized LOC105376442",""
"LOC105376443","10",105376443,"uncharacterized LOC105376443",""
"LOC105376444","10",105376444,"uncharacterized LOC105376444",""
"LOC105376445","10",105376445,"uncharacterized LOC105376445",""
"LOC105376446","10",105376446,"uncharacterized LOC105376446",""
"LOC105376447","10",105376447,"uncharacterized LOC105376447",""
"LOC105376448","10",105376448,"uncharacterized LOC105376448",""
"LOC105376449","10",105376449,"uncharacterized LOC105376449",""
"LOC105376450","10",105376450,"uncharacterized LOC105376450",""
"LOC105376451","10",105376451,"uncharacterized LOC105376451",""
"LOC105376452","10",105376452,"uncharacterized LOC105376452",""
"LOC105376453","10",105376453,"uncharacterized LOC105376453",""
"LOC105376454","10",105376454,"uncharacterized LOC105376454",""
"LOC105376455","10",105376455,"uncharacterized LOC105376455",""
"LOC105376456","10",105376456,"uncharacterized LOC105376456",""
"LOC105376457","10",105376457,"uncharacterized LOC105376457",""
"LOC105376458","10",105376458,"uncharacterized LOC105376458",""
"LOC105376459","10",105376459,"uncharacterized LOC105376459",""
"LOC105376460","10",105376460,"uncharacterized LOC105376460",""
"LOC105376461","10",105376461,"uncharacterized LOC105376461",""
"LOC105376462","10",105376462,"uncharacterized LOC105376462",""
"LOC105376463","10",105376463,"uncharacterized LOC105376463",""
"LOC105376464","10",105376464,"uncharacterized LOC105376464",""
"LOC105376465","10",105376465,"uncharacterized LOC105376465",""
"LOC105376466","10",105376466,"uncharacterized LOC105376466",""
"LOC105376467","10",105376467,"uncharacterized LOC105376467",""
"LOC105376468","10",105376468,"uncharacterized LOC105376468",""
"LOC105376469","10",105376469,"uncharacterized LOC105376469",""
"LOC105376470","10",105376470,"uncharacterized LOC105376470",""
"LOC105376471","10",105376471,"uncharacterized LOC105376471",""
"LOC105376472","10",105376472,"uncharacterized LOC105376472",""
"LOC105376473","10",105376473,"uncharacterized LOC105376473",""
"LOC105376474","10",105376474,"uncharacterized LOC105376474",""
"LOC105376475","10",105376475,"uncharacterized LOC105376475",""
"LOC105376476","10",105376476,"uncharacterized LOC105376476",""
"LOC105376477","10",105376477,"uncharacterized LOC105376477",""
"LOC105376478","10",105376478,"uncharacterized LOC105376478",""
"LOC105376479","10",105376479,"uncharacterized LOC105376479",""
"LOC105376480","10",105376480,"uncharacterized LOC105376480",""
"LOC105376481","10",105376481,"uncharacterized LOC105376481",""
"LOC105376482","10",105376482,"uncharacterized LOC105376482",""
"LOC105376483","10",105376483,"uncharacterized LOC105376483",""
"LOC105376484","10",105376484,"uncharacterized LOC105376484",""
"LOC105376485","10",105376485,"uncharacterized LOC105376485",""
"LOC105376486","10",105376486,"uncharacterized LOC105376486",""
"LOC105376487","10",105376487,"uncharacterized LOC105376487",""
"LOC105376488","10",105376488,"uncharacterized LOC105376488",""
"LOC105376489","10",105376489,"uncharacterized LOC105376489",""
"LOC105376490","10",105376490,"uncharacterized LOC105376490",""
"LOC105376491","10",105376491,"uncharacterized LOC105376491",""
"LOC105376492","10",105376492,"uncharacterized LOC105376492",""
"LOC105376493","10",105376493,"uncharacterized LOC105376493",""
"LOC105376494","10",105376494,"uncharacterized LOC105376494",""
"LOC105376495","10",105376495,"uncharacterized LOC105376495",""
"LOC105376496","10",105376496,"uncharacterized LOC105376496",""
"LOC105376497","10",105376497,"uncharacterized LOC105376497",""
"LOC105376498","10",105376498,"uncharacterized LOC105376498",""
"LOC105376499","10",105376499,"uncharacterized LOC105376499",""
"LOC105376500","10",105376500,"uncharacterized LOC105376500",""
"LOC105376501","10",105376501,"uncharacterized LOC105376501",""
"LOC105376502","10",105376502,"microtubule cross-linking factor 1-like",""
"LOC105376503","11",105376503,"uncharacterized LOC105376503",""
"LOC105376504","11",105376504,"uncharacterized LOC105376504",""
"LOC105376505","11",105376505,"uncharacterized LOC105376505",""
"LOC105376506","11",105376506,"uncharacterized LOC105376506",""
"LOC105376507","11",105376507,"uncharacterized LOC105376507",""
"LOC105376508","11",105376508,"uncharacterized LOC105376508",""
"LOC105376509","11",105376509,"uncharacterized LOC105376509",""
"LOC105376510","11",105376510,"uncharacterized LOC105376510",""
"LOC105376511","11",105376511,"uncharacterized LOC105376511",""
"LOC105376512","11",105376512,"uncharacterized LOC105376512",""
"LOC105376513","11",105376513,"uncharacterized LOC105376513",""
"LOC105376514","11",105376514,"uncharacterized LOC105376514",""
"LOC105376515","11",105376515,"uncharacterized LOC105376515",""
"LOC105376516","11",105376516,"uncharacterized LOC105376516",""
"LOC105376517","11",105376517,"uncharacterized LOC105376517",""
"LOC105376518","11",105376518,"uncharacterized LOC105376518",""
"LOC105376519","11",105376519,"uncharacterized LOC105376519",""
"LOC105376520","11",105376520,"uncharacterized LOC105376520",""
"LOC105376521","11",105376521,"uncharacterized LOC105376521",""
"LOC105376522","11",105376522,"uncharacterized LOC105376522",""
"LOC105376523","11",105376523,"uncharacterized LOC105376523",""
"LOC105376524","11",105376524,"uncharacterized LOC105376524",""
"LOC105376525","11",105376525,"ectonucleotide pyrophosphatase/phosphodiesterase family member 7-like",""
"LOC105376526","11",105376526,"uncharacterized LOC105376526",""
"LOC105376527","11",105376527,"uncharacterized LOC105376527",""
"LOC105376528","11",105376528,"uncharacterized LOC105376528",""
"LOC105376529","11",105376529,"uncharacterized LOC105376529",""
"LOC105376530","11",105376530,"uncharacterized LOC105376530",""
"LOC105376531","11",105376531,"uncharacterized LOC105376531",""
"LOC105376532","11",105376532,"uncharacterized LOC105376532",""
"LOC105376533","11",105376533,"uncharacterized LOC105376533",""
"LOC105376534","11",105376534,"uncharacterized LOC105376534",""
"LOC105376535","11",105376535,"uncharacterized LOC105376535",""
"LOC105376536","11",105376536,"uncharacterized LOC105376536",""
"LOC105376537","11",105376537,"uncharacterized LOC105376537",""
"LOC105376538","11",105376538,"uncharacterized LOC105376538",""
"LOC105376539","11",105376539,"uncharacterized LOC105376539",""
"LOC105376540","11",105376540,"uncharacterized LOC105376540",""
"LOC105376541","11",105376541,"uncharacterized LOC105376541",""
"LOC105376542","11",105376542,"uncharacterized LOC105376542",""
"LOC105376543","11",105376543,"uncharacterized LOC105376543",""
"LOC105376544","11",105376544,"uncharacterized LOC105376544",""
"LOC105376545","11",105376545,"uncharacterized LOC105376545",""
"LOC105376546","11",105376546,"uncharacterized LOC105376546",""
"LOC105376547","11",105376547,"uncharacterized LOC105376547",""
"LOC105376548","11",105376548,"uncharacterized LOC105376548",""
"LOC105376549","11",105376549,"105376549",""
"LOC105376550","11",105376550,"uncharacterized LOC105376550",""
"LOC105376551","11",105376551,"uncharacterized LOC105376551",""
"LOC105376552","11",105376552,"uncharacterized LOC105376552",""
"LOC105376553","11",105376553,"uncharacterized LOC105376553",""
"LOC105376554","11",105376554,"uncharacterized LOC105376554",""
"LOC105376555","11",105376555,"uncharacterized LOC105376555",""
"LOC105376556","11",105376556,"uncharacterized LOC105376556",""
"LOC105376557","11",105376557,"uncharacterized LOC105376557",""
"LOC105376558","11",105376558,"uncharacterized LOC105376558",""
"LOC105376559","11",105376559,"uncharacterized LOC105376559",""
"LOC105376560","11",105376560,"uncharacterized LOC105376560",""
"LOC105376561","11",105376561,"uncharacterized LOC105376561",""
"LOC105376562","11",105376562,"uncharacterized LOC105376562",""
"LOC105376563","11",105376563,"uncharacterized LOC105376563",""
"LOC105376564","11",105376564,"uncharacterized LOC105376564",""
"LOC105376565","11",105376565,"uncharacterized LOC105376565",""
"LOC105376566","11",105376566,"uncharacterized LOC105376566",""
"LOC105376567","11",105376567,"uncharacterized LOC105376567",""
"LOC105376568","11",105376568,"uncharacterized LOC105376568",""
"LOC105376569","11",105376569,"uncharacterized LOC105376569",""
"LOC105376570","11",105376570,"uncharacterized LOC105376570",""
"LOC105376571","11",105376571,"uncharacterized LOC105376571",""
"LOC105376572","11",105376572,"uncharacterized LOC105376572",""
"LOC105376573","11",105376573,"uncharacterized LOC105376573",""
"LOC105376574","11",105376574,"uncharacterized LOC105376574",""
"LOC105376575","11",105376575,"uncharacterized LOC105376575",""
"LOC105376576","11",105376576,"uncharacterized LOC105376576",""
"LOC105376577","11",105376577,"uncharacterized LOC105376577",""
"LOC105376578","11",105376578,"uncharacterized LOC105376578",""
"LOC105376579","11",105376579,"uncharacterized LOC105376579",""
"LOC105376580","11",105376580,"uncharacterized LOC105376580",""
"LOC105376581","11",105376581,"uncharacterized LOC105376581",""
"LOC105376582","11",105376582,"uncharacterized LOC105376582",""
"LOC105376583","11",105376583,"uncharacterized LOC105376583",""
"LOC105376584","11",105376584,"uncharacterized LOC105376584",""
"LOC105376585","11",105376585,"uncharacterized LOC105376585",""
"LOC105376586","11",105376586,"uncharacterized LOC105376586",""
"LOC105376587","11",105376587,"uncharacterized LOC105376587",""
"LOC105376588","11",105376588,"uncharacterized LOC105376588",""
"LOC105376589","11",105376589,"uncharacterized LOC105376589",""
"LOC105376590","11",105376590,"uncharacterized LOC105376590",""
"LOC105376591","11",105376591,"uncharacterized LOC105376591",""
"LOC105376592","11",105376592,"uncharacterized LOC105376592",""
"LOC105376593","11",105376593,"uncharacterized LOC105376593",""
"LOC105376594","11",105376594,"uncharacterized LOC105376594",""
"LOC105376595","11",105376595,"uncharacterized LOC105376595",""
"LOC105376596","11",105376596,"uncharacterized LOC105376596",""
"LOC105376597","11",105376597,"uncharacterized LOC105376597",""
"LOC105376598","11",105376598,"uncharacterized LOC105376598",""
"LOC105376599","11",105376599,"uncharacterized LOC105376599",""
"LOC105376600","11",105376600,"uncharacterized LOC105376600",""
"LOC105376601","11",105376601,"uncharacterized LOC105376601",""
"LOC105376602","11",105376602,"uncharacterized LOC105376602",""
"LOC105376603","11",105376603,"uncharacterized LOC105376603",""
"LOC105376604","11",105376604,"uncharacterized LOC105376604",""
"LOC105376605","11",105376605,"uncharacterized LOC105376605",""
"LOC105376606","11",105376606,"uncharacterized LOC105376606",""
"LOC105376607","11",105376607,"uncharacterized LOC105376607",""
"LOC105376608","11",105376608,"uncharacterized LOC105376608",""
"LOC105376609","11",105376609,"uncharacterized LOC105376609",""
"LOC105376610","11",105376610,"uncharacterized LOC105376610",""
"LOC105376611","11",105376611,"uncharacterized LOC105376611",""
"LOC105376612","11",105376612,"uncharacterized LOC105376612",""
"LOC105376613","11",105376613,"uncharacterized LOC105376613",""
"LOC105376614","11",105376614,"uncharacterized LOC105376614",""
"LOC105376615","11",105376615,"uncharacterized LOC105376615",""
"LOC105376616","11",105376616,"uncharacterized LOC105376616",""
"LOC105376617","11",105376617,"uncharacterized LOC105376617",""
"LOC105376618","11",105376618,"uncharacterized LOC105376618",""
"LOC105376619","11",105376619,"uncharacterized LOC105376619",""
"LOC105376620","11",105376620,"uncharacterized LOC105376620",""
"LOC105376621","11",105376621,"uncharacterized LOC105376621",""
"LOC105376622","11",105376622,"uncharacterized LOC105376622",""
"LOC105376623","11",105376623,"uncharacterized LOC105376623",""
"LOC105376624","11",105376624,"uncharacterized LOC105376624",""
"LOC105376625","11",105376625,"uncharacterized LOC105376625",""
"LOC105376626","11",105376626,"uncharacterized LOC105376626",""
"LOC105376627","11",105376627,"uncharacterized LOC105376627",""
"LOC105376628","11",105376628,"uncharacterized LOC105376628",""
"LOC105376629","11",105376629,"uncharacterized LOC105376629",""
"LOC105376630","11",105376630,"uncharacterized LOC105376630",""
"LOC105376631","11",105376631,"uncharacterized LOC105376631",""
"LOC105376632","11",105376632,"uncharacterized LOC105376632",""
"LOC105376633","11",105376633,"uncharacterized LOC105376633",""
"LOC105376634","11",105376634,"uncharacterized LOC105376634",""
"LOC105376635","11",105376635,"uncharacterized LOC105376635",""
"LOC105376636","11",105376636,"uncharacterized LOC105376636",""
"LOC105376637","11",105376637,"uncharacterized LOC105376637",""
"LOC105376638","11",105376638,"uncharacterized LOC105376638",""
"LOC105376639","11",105376639,"uncharacterized LOC105376639",""
"LOC105376640","11",105376640,"uncharacterized LOC105376640",""
"LOC105376641","11",105376641,"uncharacterized LOC105376641",""
"LOC105376642","11",105376642,"uncharacterized LOC105376642",""
"LOC105376643","11",105376643,"uncharacterized LOC105376643",""
"LOC105376644","11",105376644,"uncharacterized LOC105376644",""
"LOC105376645","11",105376645,"uncharacterized LOC105376645",""
"LOC105376646","11",105376646,"uncharacterized LOC105376646",""
"LOC105376647","11",105376647,"uncharacterized LOC105376647",""
"LOC105376648","11",105376648,"uncharacterized LOC105376648",""
"LOC105376649","11",105376649,"uncharacterized LOC105376649",""
"LOC105376650","11",105376650,"uncharacterized LOC105376650",""
"LOC105376651","11",105376651,"uncharacterized LOC105376651",""
"LOC105376652","11",105376652,"uncharacterized LOC105376652",""
"LOC105376653","11",105376653,"uncharacterized LOC105376653",""
"LOC105376654","11",105376654,"uncharacterized LOC105376654",""
"LOC105376655","11",105376655,"uncharacterized LOC105376655",""
"LOC105376656","11",105376656,"uncharacterized LOC105376656",""
"LOC105376657","11",105376657,"uncharacterized LOC105376657",""
"LOC105376658","11",105376658,"uncharacterized LOC105376658",""
"LOC105376659","11",105376659,"uncharacterized LOC105376659",""
"LOC105376660","11",105376660,"uncharacterized LOC105376660",""
"LOC105376661","11",105376661,"uncharacterized LOC105376661",""
"LOC105376662","11",105376662,"uncharacterized LOC105376662",""
"LOC105376663","11",105376663,"uncharacterized LOC105376663",""
